rank,avg_ev,pred_ev,,
518,4.21,3.97,,
519,4.34,3.96,,
520,4.39,3.96,,
521,3.06,3.95,,
522,2.41,3.94,,
523,2.53,3.93,,
524,2.44,3.92,,
525,2.31,3.92,,
526,2.55,3.91,,
527,2.7,3.9,,
528,2.52,3.89,,
529,2.45,3.89,,
530,2.18,3.88,,
531,2.2,3.87,,
532,2.39,3.86,,
533,2.61,3.86,,
534,0.9,3.85,,
535,0.92,3.84,,
536,3.71,3.83,,
537,3.01,3.83,,
538,4.25,3.82,,
539,4.75,3.81,,
540,4.75,3.8,,
541,4.92,3.8,,
542,5.07,3.79,,
543,5.62,3.78,,
544,5.32,3.77,,
545,7.22,3.77,,
546,7.5,3.76,,
547,5.29,3.75,,
548,6.26,3.74,,
549,3.31,3.74,,
550,4.58,3.73,,
551,4.7,3.72,,
552,4.7,3.71,,
553,4.29,3.71,,
554,4.1,3.7,,
555,4.1,3.69,,
556,2.5,3.68,,
557,3.2,3.68,,
558,3.59,3.67,,
559,6.58,3.66,,
560,7.46,3.66,,
561,6.8,3.65,,
562,6.6,3.64,,
563,6.75,3.63,,
564,6.97,3.63,,
565,7.34,3.62,,
566,7.21,3.61,,
567,7.64,3.61,,
568,6.52,3.6,,
569,6.56,3.59,,
570,2.49,3.58,,
571,2.43,3.58,,
572,2.46,3.57,,
573,2.31,3.56,,
574,1.88,3.56,,
575,4.1,3.55,,
576,3.64,3.54,,
577,3.79,3.54,,
578,3.93,3.53,,
579,4.16,3.52,,
580,5.52,3.51,,
581,5.43,3.51,,
582,5.16,3.5,,
583,5.6,3.49,,
584,5.68,3.49,,
585,5.89,3.48,,
586,4.66,3.47,,
587,4.94,3.47,,
588,4.59,3.46,,
589,4.36,3.45,,
590,4.07,3.45,,
591,2.47,3.44,,
592,3.62,3.43,,
593,3.93,3.43,,
594,3.23,3.42,,
595,2.77,3.41,,
596,2.54,3.41,,
597,2.72,3.4,,
598,2.76,3.39,,
599,2.65,3.39,,
600,2.76,3.38,,
601,2.93,3.37,,
602,2.88,3.37,,
603,1.27,3.36,,
604,1.25,3.35,,
605,1.16,3.35,,
606,1.38,3.34,,
607,1.42,3.33,,
608,3.86,3.33,,
609,4.31,3.32,,
610,4.62,3.31,,
611,4.86,3.31,,
612,4.6,3.3,,
613,4.5,3.29,,
614,5.45,3.29,,
615,4.97,3.28,,
616,5.26,3.27,,
617,5.28,3.27,,
618,5.09,3.26,,
619,2.93,3.26,,
620,1.89,3.25,,
621,1.81,3.24,,
622,1.86,3.24,,
623,1.83,3.23,,
624,1.65,3.22,,
625,0.22,3.22,,
626,0.64,3.21,,
627,1.12,3.2,,
628,0.93,3.2,,
629,1.46,3.19,,
630,1.55,3.19,,
631,2.62,3.18,,
632,2.6,3.17,,
633,3.85,3.17,,
634,4.07,3.16,,
635,4.1,3.15,,
636,4.25,3.15,,
637,4.64,3.14,,
638,4.69,3.14,,
639,5.43,3.13,,
640,5.84,3.12,,
641,5.74,3.12,,
642,5.29,3.11,,
643,5.22,3.11,,
644,3.43,3.1,,
645,2.34,3.09,,
646,2.46,3.09,,
647,2.28,3.08,,
648,1.62,3.07,,
649,1.42,3.07,,
650,0.9,3.06,,
651,1.03,3.06,,
652,0.99,3.05,,
653,1.23,3.04,,
654,1.26,3.04,,
655,1.14,3.03,,
656,2.12,3.03,,
657,2.01,3.02,,
658,2.23,3.01,,
659,2.77,3.01,,
660,2.72,3,,
661,2.86,3,,
662,2.83,2.99,,
663,2.83,2.99,,
664,2.51,2.98,,
665,2.45,2.97,,
666,2.53,2.97,,
667,2.51,2.96,,
668,2.49,2.96,,
669,2.4,2.95,,
670,1.55,2.94,,
671,1.53,2.94,,
672,1.42,2.93,,
673,1.03,2.93,,
674,0.94,2.92,,
675,1.02,2.92,,
